campaign_name,type,target_audience,start_date,end_date,budget,revenue,conversion_rate,CTR,CPC,duration_days
Public-key multi-tasking throughput,email,B2B,2023-04-01,2024-02-23,8082.3,709593.48,0.4,0.4,2.499999999999227,328
De-engineered analyzing task-force,email,B2C,2023-02-15,2024-04-22,17712.98,516609.1,0.66,0.66,1.5151515151513855,432
Balanced solution-oriented Local Area Network,podcast,B2B,2022-12-20,2023-10-11,84643.1,458227.42,0.28,0.28,3.5714285714284206,295
Distributed real-time methodology,webinar,B2B,2022-09-26,2023-09-27,14589.75,89958.73,0.19,0.19,5.263157894734943,366
Front-line executive infrastructure,social media,B2B,2023-07-07,2024-05-15,39291.9,47511.35,0.81,0.81,1.234567901234529,313
Upgradable transitional data-warehouse,social media,B2C,2023-06-29,2023-12-13,75569.28,558302.11,0.67,0.67,1.4925373134328064,167
Innovative context-sensitive framework,email,B2C,2023-03-01,2024-02-23,28964.45,172882.59,0.17,0.17,5.8823529411752755,359
User-friendly client-driven service-desk,webinar,B2C,2023-01-06,2023-12-11,36800.58,206241.46,0.52,0.52,1.9230769230768223,339
Proactive neutral methodology,webinar,B2C,2022-09-06,2024-01-11,40493.88,734755.76,0.47,0.47,2.127659574467973,492
Intuitive responsive support,social media,B2C,2022-11-25,2024-04-04,1816.22,563280.3,0.85,0.85,1.176470588234532,496
Multi-lateral dedicated workforce,podcast,B2B,2023-06-15,2024-06-15,94084.21,406522.77,0.23,0.23,4.347826086956321,366
Cross-platform demand-driven encoding,social media,B2B,2023-07-21,2023-11-04,64041.37,174462.47,0.55,0.55,1.8181818181817664,106
Networked even-keeled toolset,social media,B2B,2023-03-16,2023-09-05,49375.81,680416.9,0.95,0.95,1.0526315789473462,173
Optional actuating standardization,webinar,B2B,2023-07-04,2024-05-06,14810.62,477528.27,0.45,0.45,2.222222222221889,307
Innovative web-enabled function,webinar,B2C,2022-11-05,2023-09-05,36848.3,4190.95,0.1,0.1,9.999999999997286,304
Configurable methodical service-desk,email,B2B,2023-03-23,2023-11-07,21510.43,23176.85,0.92,0.92,1.0869565217390755,229
Cross-group empowering attitude,podcast,B2C,2022-09-14,2024-01-25,99520.93,386133.95,0.65,0.65,1.5384615384615146,498
Intuitive didactic installation,email,B2B,2023-06-24,2024-03-27,19213.46,925274.53,0.96,0.96,1.0416666666666103,277
Fundamental dedicated encryption,email,B2B,2023-07-16,2023-08-17,17573.23,460559.74,0.79,0.79,1.2658227848100352,32
De-engineered 4thgeneration moratorium,email,B2C,2022-09-26,2024-05-30,25396.4,292885.55,0.1,0.1,9.999999999996062,612
Managed upward-trending website,podcast,B2B,2023-02-07,2024-02-07,34644.22,478980.33,0.72,0.72,1.388888888888833,365
Self-enabling human-resource infrastructure,webinar,B2B,2023-04-20,2024-01-09,60274.59,974038.96,0.91,0.91,1.098901098901079,264
Cross-platform 24/7 archive,email,B2B,2023-01-16,2024-07-15,79680.62,435524.36,0.96,0.96,1.041666666666653,546
Future-proofed local forecast,webinar,B2B,2023-08-01,2023-08-11,46775.63,814672.28,0.75,0.75,1.3333333333332955,10
Horizontal hybrid instruction set,social media,B2B,2022-08-26,2024-07-24,48366.5,41004.95,0.87,0.87,1.1494252873562945,698
Inverse contextually-based neural-net,podcast,B2C,2023-06-26,2024-01-28,84973.4,390736.64,0.16,0.16,6.24999999999954,216
Polarized hybrid system engine,email,B2C,2023-02-15,2023-11-17,37344.7,463541.48,0.43,0.43,2.3255813953486926,275
Managed analyzing service-desk,email,B2C,2023-07-05,2023-10-09,14391.98,456537.4,0.83,0.83,1.2048192771083328,96
Seamless clear-thinking product,email,B2B,2022-11-18,2023-10-05,99838.63,14073.59,0.18,0.18,5.555555555555247,321
Networked local adapter,social media,B2B,2022-10-17,2024-07-03,29076.12,948309.55,0.1,0.1,9.999999999996561,625
Open-architected neutral open system,podcast,B2B,2023-04-19,2023-09-20,87963.28,993906.77,0.57,0.57,1.754385964912246,154
Secured optimal website,social media,B2C,2023-05-25,2023-12-12,53935.8,958654.12,0.4,0.4,2.4999999999998836,201
Seamless zero-defect portal,email,B2B,2022-08-12,2024-07-19,71277.1,932824.61,0.56,0.56,1.785714285714241,707
Configurable eco-centric capability,social media,B2C,2022-10-02,2024-03-09,15968.2,430007.3,0.15,0.15,6.666666666663883,524
Customizable directional paradigm,social media,B2C,2023-01-20,2023-08-16,54468.41,924154.29,0.7,0.7,1.4285714285713913,208
Cross-platform holistic encryption,podcast,B2B,2023-07-27,2024-02-15,29393.78,72323.84,0.8,0.8,1.2499999999999467,203
Vision-oriented encompassing system engine,email,B2B,2022-11-24,2024-03-22,9147.79,42048.95,0.28,0.28,3.571428571427177,484
Ergonomic next generation throughput,social media,B2B,2022-12-16,2024-03-25,68801.22,482216.95,0.65,0.65,1.5384615384615041,465
Vision-oriented 4thgeneration conglomeration,podcast,B2C,2023-01-18,2024-04-22,1309.17,273231.88,0.27,0.27,3.703703703693226,460
Ameliorated secondary data-warehouse,social media,B2B,2023-04-29,2023-08-24,27168.6,704768.1,0.1,0.1,9.999999999996318,117
Programmable executive workforce,webinar,B2B,2022-11-22,2024-07-01,39682.9,116505.36,0.7,0.7,1.4285714285713773,587
Cross-group user-facing application,podcast,B2C,2023-02-27,2024-01-06,89227.7,617379.96,0.0,0.0,89227699999999.98,313
Secured systematic architecture,podcast,B2C,2022-11-26,2024-04-16,96917.97,571977.28,0.39,0.39,2.5641025641024964,507
Seamless bifurcated firmware,webinar,B2B,2022-09-06,2023-12-12,28323.41,984261.3,0.9,0.9,1.1111111111110674,462
Intuitive directional website,podcast,B2B,2023-06-15,2024-01-07,63656.18,77500.94,0.4,0.4,2.4999999999999014,206
Mandatory incremental throughput,podcast,B2B,2023-02-28,2024-07-01,69084.1,210953.33,0.98,0.98,1.020408163265291,489
Organic 24/7 secured line,email,B2B,2023-07-14,2023-10-06,65447.41,477907.76,0.26,0.26,3.84615384615362,84
User-friendly analyzing moratorium,email,B2B,2023-04-06,2024-03-16,20328.53,658107.7,0.97,0.97,1.030927835051494,345
Programmable discrete intranet,social media,B2B,2023-03-05,2024-02-13,8041.9,567808.35,0.96,0.96,1.0416666666665317,345
Future-proofed empowering forecast,webinar,B2C,2022-12-11,2023-11-05,19030.69,472138.22,0.75,0.75,1.33333333333324,329
Re-engineered solution-oriented core,email,B2B,2022-10-20,2024-02-11,6124.7,397435.21,0.67,0.67,1.492537313432472,479
Diverse grid-enabled forecast,social media,B2C,2022-11-18,2023-11-18,11271.19,538367.39,0.81,0.81,1.2345679012344324,365
Function-based motivating functionalities,email,B2C,2022-12-11,2024-03-18,28203.84,570246.17,0.24,0.24,4.1666666666660515,463
User-centric holistic firmware,webinar,B2C,2022-08-06,2024-03-12,99957.15,430498.24,0.62,0.62,1.6129032258064258,584
